2026-06-19 13:14:03.810 [car-30] INFO  edu.homework.inspection.car.CarAgent - Car 30 listening on car.no30
2026-06-19 13:14:03.810 [car-28] INFO  edu.homework.inspection.car.CarAgent - Car 28 listening on car.no28
2026-06-19 13:14:03.810 [car-59] INFO  edu.homework.inspection.car.CarAgent - Car 59 listening on car.no59
2026-06-19 13:14:03.810 [car-69] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6049ms
2026-06-19 13:14:03.810 [car-37] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6087ms
2026-06-19 13:14:03.810 [car-81] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6044ms
2026-06-19 13:14:03.810 [car-77] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6047ms
2026-06-19 13:14:03.810 [car-69] INFO  edu.homework.inspection.car.CarAgent - Car 69 listening on car.no69
2026-06-19 13:14:03.810 [car-37] INFO  edu.homework.inspection.car.CarAgent - Car 37 listening on car.no37
2026-06-19 13:14:03.810 [car-82] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6042ms
2026-06-19 13:14:03.810 [car-46] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6080ms
2026-06-19 13:14:03.810 [car-98] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6036ms
2026-06-19 13:14:03.818 [car-81] INFO  edu.homework.inspection.car.CarAgent - Car 81 listening on car.no81
2026-06-19 13:14:03.818 [car-82] INFO  edu.homework.inspection.car.CarAgent - Car 82 listening on car.no82
2026-06-19 13:14:03.818 [car-77] INFO  edu.homework.inspection.car.CarAgent - Car 77 listening on car.no77
2026-06-19 13:14:03.818 [car-46] INFO  edu.homework.inspection.car.CarAgent - Car 46 listening on car.no46
2026-06-19 13:14:03.818 [car-98] INFO  edu.homework.inspection.car.CarAgent - Car 98 listening on car.no98
2026-06-19 13:14:03.818 [car-100] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6037ms
2026-06-19 13:14:03.818 [car-100] INFO  edu.homework.inspection.car.CarAgent - Car 100 listening on car.no100
